Start date;End date;Balancing services [€] Original resolutions;Network security of the TSOs [€] Original resolutions;Countertrading [€] Original resolutions
Jan 1, 2015;Feb 1, 2015;66,739,449.87;92,096,650.94;349,180.94
Feb 1, 2015;Mar 1, 2015;33,129,388.77;53,863,601.13;305,033.18
Mar 1, 2015;Apr 1, 2015;55,994,836.14;115,006,365.05;556,570.40
Apr 1, 2015;May 1, 2015;46,996,711.20;49,056,360.99;467,763.19
May 1, 2015;Jun 1, 2015;48,568,445.77;45,747,135.66;777,136.00
Jun 1, 2015;Jul 1, 2015;38,395,745.90;23,597,256.52;517,122.54
Jul 1, 2015;Aug 1, 2015;52,934,103.33;72,931,799.11;1,721,399.45
Aug 1, 2015;Sep 1, 2015;38,339,907.92;33,974,802.81;1,473,818.70
Sep 1, 2015;Oct 1, 2015;31,722,428.45;63,542,094.31;2,608,962.87
Oct 1, 2015;Nov 1, 2015;33,722,005.21;31,689,127.27;3,800,588.95
Nov 1, 2015;Dec 1, 2015;36,562,450.96;149,832,577.24;2,389,842.39
Dec 1, 2015;Jan 1, 2016;51,061,523.86;189,571,128.05;7,906,243.67
Jan 1, 2016;Feb 1, 2016;36,234,430.16;118,029,666.36;3,797,640.49
Feb 1, 2016;Mar 1, 2016;23,063,097.35;105,886,598.50;2,426,472.31
Mar 1, 2016;Apr 1, 2016;20,918,697.52;45,843,856.99;733,210.55
Apr 1, 2016;May 1, 2016;23,514,145.86;50,491,868.68;841,050.16
May 1, 2016;Jun 1, 2016;39,211,657.93;26,176,852.29;786,396.94
Jun 1, 2016;Jul 1, 2016;40,054,842.66;7,520,533.47;-4,954.40
Jul 1, 2016;Aug 1, 2016;28,065,767.36;30,288,492.40;109,937.82
Aug 1, 2016;Sep 1, 2016;22,765,457.87;21,579,319.09;136,874.52
Sep 1, 2016;Oct 1, 2016;22,210,070.14;29,553,571.08;392,264.66
Oct 1, 2016;Nov 1, 2016;29,008,611.36;45,151,594.08;927,530.81
Nov 1, 2016;Dec 1, 2016;26,353,265.33;57,864,189.59;652,840.61
Dec 1, 2016;Jan 1, 2017;36,325,848.89;141,738,721.18;4,859,689.25
Jan 1, 2017;Feb 1, 2017;48,475,012.81;176,219,496.47;2,946,565.30
Feb 1, 2017;Mar 1, 2017;22,376,043.53;140,529,229.57;8,296,979.57
Mar 1, 2017;Apr 1, 2017;25,376,472.00;83,310,376.65;251,961.04
Apr 1, 2017;May 1, 2017;26,318,108.57;99,200,408.64;22,809.81
May 1, 2017;Jun 1, 2017;25,485,126.59;29,650,513.83;308,207.00
Jun 1, 2017;Jul 1, 2017;22,582,257.67;64,335,568.20;0.00
Jul 1, 2017;Aug 1, 2017;21,394,242.39;42,839,291.40;29,724.51
Aug 1, 2017;Sep 1, 2017;24,139,405.45;21,367,932.81;872,177.56
Sep 1, 2017;Oct 1, 2017;19,642,613.60;38,174,372.94;284,076.18
Oct 1, 2017;Nov 1, 2017;35,784,171.56;140,085,404.84;6,615,222.51
Nov 1, 2017;Dec 1, 2017;26,460,088.47;111,785,736.53;5,843,311.90
Dec 1, 2017;Jan 1, 2018;34,655,666.59;144,357,028.73;2,912,967.14
Jan 1, 2018;Feb 1, 2018;27,190,536.57;127,325,842.15;1,547,733.00
Feb 1, 2018;Mar 1, 2018;21,254,036.23;72,031,212.40;1,419,031.00
Mar 1, 2018;Apr 1, 2018;25,347,876.13;152,425,723.77;2,804,792.36
Apr 1, 2018;May 1, 2018;21,387,325.74;63,015,177.50;41,764.00
May 1, 2018;Jun 1, 2018;24,397,308.47;34,083,567.57;2,538,950.05
Jun 1, 2018;Jul 1, 2018;21,725,910.11;42,544,575.56;1,387,981.88
Jul 1, 2018;Aug 1, 2018;23,032,600.19;32,160,825.75;338,009.00
Aug 1, 2018;Sep 1, 2018;29,787,078.57;44,726,749.77;1,043,991.25
Sep 1, 2018;Oct 1, 2018;20,639,221.85;85,550,710.98;4,111,224.00
Oct 1, 2018;Nov 1, 2018;29,727,063.83;139,956,093.03;9,591,935.45
Nov 1, 2018;Dec 1, 2018;25,659,567.07;133,916,696.36;7,461,455.00
Dec 1, 2018;Jan 1, 2019;27,568,056.38;152,065,197.68;4,273,898.00
Jan 1, 2019;Feb 1, 2019;37,495,663.59;174,700,871.32;8,093,262.42
Feb 1, 2019;Mar 1, 2019;18,006,351.59;124,640,828.60;5,714,614.10
Mar 1, 2019;Apr 1, 2019;25,310,953.02;173,035,514.26;3,623,305.00
Apr 1, 2019;May 1, 2019;27,704,691.88;40,972,786.75;11,379,866.03
May 1, 2019;Jun 1, 2019;26,914,529.51;38,506,249.52;7,099,336.93
Jun 1, 2019;Jul 1, 2019;79,804,263.70;31,430,313.59;11,655,217.00
Jul 1, 2019;Aug 1, 2019;86,573,583.07;41,032,067.36;24,394,859.81
Aug 1, 2019;Sep 1, 2019;36,418,696.78;19,994,206.55;19,189,927.40
Sep 1, 2019;Oct 1, 2019;27,862,710.51;50,752,825.46;36,999,422.20
Oct 1, 2019;Nov 1, 2019;35,761,474.69;53,823,312.39;15,314,391.00
Nov 1, 2019;Dec 1, 2019;23,426,151.34;30,876,416.01;9,987,657.00
Dec 1, 2019;Jan 1, 2020;23,148,486.81;110,415,722.06;13,899,523.00
Jan 1, 2020;Feb 1, 2020;19,740,448.60;145,896,525.99;25,789,103.34
Feb 1, 2020;Mar 1, 2020;22,868,720.24;170,710,796.47;24,688,988.11
Mar 1, 2020;Apr 1, 2020;22,673,731.94;90,185,878.86;21,467,455.02
Apr 1, 2020;May 1, 2020;25,061,184.26;67,648,833.58;21,463,233.05
May 1, 2020;Jun 1, 2020;25,087,596.91;40,178,997.92;16,788,298.62
Jun 1, 2020;Jul 1, 2020;29,583,947.67;37,203,443.64;12,714,936.33
Jul 1, 2020;Aug 1, 2020;17,446,129.70;39,169,564.10;15,374,228.62
Aug 1, 2020;Sep 1, 2020;19,479,290.90;52,337,678.48;10,868,308.12
Sep 1, 2020;Oct 1, 2020;21,192,730.58;42,987,228.20;11,417,428.60
Oct 1, 2020;Nov 1, 2020;35,650,608.91;62,502,378.14;16,410,083.14
Nov 1, 2020;Dec 1, 2020;0.00;115,166,559.50;31,608,190.67
Dec 1, 2020;Jan 1, 2021;50,891,570.21;73,926,111.95;27,353,922.32
Jan 1, 2021;Feb 1, 2021;24,501,657.71;108,152,775.98;31,039,036.45
Feb 1, 2021;Mar 1, 2021;29,815,677.48;80,282,628.09;25,011,362.54
Mar 1, 2021;Apr 1, 2021;26,909,331.13;91,763,005.37;30,699,955.23
Apr 1, 2021;May 1, 2021;66,579,051.44;110,503,470.44;41,246,077.88
May 1, 2021;Jun 1, 2021;104,457,662.99;99,375,202.61;18,842,343.32
Jun 1, 2021;Jul 1, 2021;73,590,120.90;22,395,996.39;17,718,342.00
Jul 1, 2021;Aug 1, 2021;39,982,788.61;32,597,813.98;26,868,921.80
Aug 1, 2021;Sep 1, 2021;28,966,401.48;43,036,358.18;22,835,690.30
Sep 1, 2021;Oct 1, 2021;39,863,330.32;80,522,140.33;36,103,619.86
Oct 1, 2021;Nov 1, 2021;176,369,026.09;168,114,197.95;116,051,443.93
Nov 1, 2021;Dec 1, 2021;87,055,338.00;194,899,940.84;114,925,159.31
Dec 1, 2021;Jan 1, 2022;62,471,791.95;239,250,557.14;91,627,677.03
Jan 1, 2022;Feb 1, 2022;75,290,579.22;386,754,666.77;59,707,559.78
Feb 1, 2022;Mar 1, 2022;41,016,870.86;496,478,491.00;56,301,998.61
Mar 1, 2022;Apr 1, 2022;53,866,126.36;321,479,888.42;35,758,296.87
Apr 1, 2022;May 1, 2022;77,503,638.37;308,152,775.61;17,099,420.97
May 1, 2022;Jun 1, 2022;66,247,917.73;142,352,508.39;30,057,551.45
Jun 1, 2022;Jul 1, 2022;106,949,300.94;110,256,557.59;9,110,305.09
Jul 1, 2022;Aug 1, 2022;142,923,799.31;244,209,025.99;57,501,213.71
Aug 1, 2022;Sep 1, 2022;148,753,918.31;97,161,279.25;12,652,611.76
Sep 1, 2022;Oct 1, 2022;131,456,109.51;214,312,170.17;19,573,056.44
Oct 1, 2022;Nov 1, 2022;120,516,952.92;213,909,623.01;16,068,466.00
Nov 1, 2022;Dec 1, 2022;66,735,843.72;336,042,054.36;44,208,614.71
Dec 1, 2022;Jan 1, 2023;103,212,211.47;230,179,345.95;12,824,188.61
Jan 1, 2023;Feb 1, 2023;71,583,682.51;393,227,594.70;17,519,420.07
Feb 1, 2023;Mar 1, 2023;40,835,556.58;331,151,757.56;19,384,916.81
Mar 1, 2023;Apr 1, 2023;71,789,490.71;297,526,461.31;16,184,262.39
Apr 1, 2023;May 1, 2023;82,598,673.17;220,206,292.58;17,818,622.42
May 1, 2023;Jun 1, 2023;61,944,850.03;132,152,733.78;18,333,011.12
Jun 1, 2023;Jul 1, 2023;129,689,365.04;76,100,333.46;5,596,924.18
Jul 1, 2023;Aug 1, 2023;181,420,034.88;217,235,110.18;10,468,820.84
Aug 1, 2023;Sep 1, 2023;79,915,923.56;112,848,905.61;24,797,471.06
Sep 1, 2023;Oct 1, 2023;67,944,556.57;136,287,789.19;12,792,563.85
Oct 1, 2023;Nov 1, 2023;81,892,544.17;282,357,546.47;24,835,113.41
Nov 1, 2023;Dec 1, 2023;57,902,409.41;183,449,824.43;5,815,426.94
Dec 1, 2023;Jan 1, 2024;61,313,752.70;226,164,741.83;3,216,814.21
Jan 1, 2024;Feb 1, 2024;47,171,850.63;215,374,582.04;4,813,198.91
Feb 1, 2024;Mar 1, 2024;25,405,933.52;154,519,348.89;4,523,476.94
Mar 1, 2024;Apr 1, 2024;39,135,841.96;72,714,185.78;4,689,148.71
Apr 1, 2024;May 1, 2024;80,295,196.28;90,680,357.35;4,932,093.16
May 1, 2024;Jun 1, 2024;86,165,450.36;183,658,734.47;11,491,932.48
Jun 1, 2024;Jul 1, 2024;123,947,150.61;97,784,641.11;10,102,141.14
Jul 1, 2024;Aug 1, 2024;85,677,825.96;50,009,069.86;4,629,341.32
Aug 1, 2024;Sep 1, 2024;86,148,944.56;87,036,609.89;7,475,895.16
Sep 1, 2024;Oct 1, 2024;81,592,073.54;178,352,488.39;5,951,812.65
Oct 1, 2024;Nov 1, 2024;62,173,678.22;156,920,170.25;8,154,653.16
Nov 1, 2024;Dec 1, 2024;58,520,694.11;210,779,011.33;13,410,834.38
Dec 1, 2024;Jan 1, 2025;71,020,744.63;366,171,193.85;18,066,137.04
Jan 1, 2025;Feb 1, 2025;55,194,530.55;293,763,687.52;13,372,966.44
Feb 1, 2025;Mar 1, 2025;42,829,709.64;157,193,116.44;11,511,533.32
Mar 1, 2025;Apr 1, 2025;-;118,068,950.69;8,174,595.26
Apr 1, 2025;May 1, 2025;-;74,329,465.80;4,167,473.99
May 1, 2025;Jun 1, 2025;-;81,540,897.48;7,116,088.02
Jun 1, 2025;Jul 1, 2025;90,321,067.02;128,339,634.15;7,680,949.65
Jul 1, 2025;Aug 1, 2025;63,154,535.58;87,435,230.65;5,197,106.18
Aug 1, 2025;Sep 1, 2025;-;-;-
Sep 1, 2025;Oct 1, 2025;-;-;-
Oct 1, 2025;Nov 1, 2025;-;-;-
Nov 1, 2025;Dec 1, 2025;-;-;-
Dec 1, 2025;Jan 1, 2026;-;-;-
